classification,average_profit_loss,number_of_trades,number_of_wins,win_rate
Extreme Fear,34.53786207897196,21400,7931,37.0607476635514
Extreme Greed,67.89286133909282,39992,18594,46.49429885977195
Fear,54.2903996254993,61837,26019,42.07675016575836
Greed,42.74355948851957,50303,19358,38.48279426674354
Neutral,34.30771839807886,37686,14961,39.69909250119408
